datetime,vote_amount,block_amount
15/02/2021 22:17,29391099.6191,45938
15/02/2021 22:18,29391099.6191,45938
15/02/2021 22:19,29391099.6191,45938
15/02/2021 22:20,29391099.6191,45938
15/02/2021 22:21,29391099.6191,45938
15/02/2021 22:22,29391199.6191,45939
15/02/2021 22:23,29391199.6191,45939
15/02/2021 22:24,29422160.8412,45939
15/02/2021 22:25,29422160.8412,45939
15/02/2021 22:26,29422160.8412,45939
15/02/2021 22:27,29422160.8412,45939
15/02/2021 22:28,29422260.8412,45940
15/02/2021 22:29,29422260.8412,45941
15/02/2021 22:30,29422360.8412,45941
15/02/2021 22:31,29422360.8412,45941
15/02/2021 22:32,29422360.8412,45941
15/02/2021 22:33,29422360.8412,45941
15/02/2021 22:34,29422360.8412,45941
15/02/2021 22:35,29422360.8412,45941
15/02/2021 22:36,29422360.8412,45941
15/02/2021 22:37,29422360.8412,45941
15/02/2021 22:38,29422360.8412,45941
15/02/2021 22:39,29422360.8412,45941
15/02/2021 22:40,29422360.8412,45941
15/02/2021 22:41,29422360.8412,45941
15/02/2021 22:42,29422360.8412,45941
15/02/2021 22:43,29422560.8412,45943
15/02/2021 22:44,29422560.8412,45943
15/02/2021 22:45,29422560.8412,45943
15/02/2021 22:46,29422660.8412,45944
15/02/2021 22:47,29422660.8412,45944
15/02/2021 22:48,29422760.8412,45945
15/02/2021 22:49,29422760.8412,45945
15/02/2021 22:50,29422760.8412,45945
15/02/2021 22:51,29422760.8412,45945
15/02/2021 22:52,29422760.8412,45945
15/02/2021 22:53,29422760.8412,45945
15/02/2021 22:54,29422760.8412,45945
15/02/2021 23:03,29422760.8412,45946
15/02/2021 23:13,29422960.8712,45947
15/02/2021 23:23,29422960.8712,45947
15/02/2021 23:33,29422960.8712,45947
15/02/2021 23:43,29422960.8712,45947
15/02/2021 23:53,29423160.8712,45949
16/02/2021 00:03,29423260.8812,45950
16/02/2021 00:13,29423460.9012,45952
16/02/2021 00:23,29423460.9012,45952
16/02/2021 00:33,29423560.9212,45953
16/02/2021 00:43,29423760.9812,45955
16/02/2021 00:53,29423760.9812,45955
