datetime,vote_amount,block_amount
15/02/2021 22:17,30127050.5988,53265
15/02/2021 22:18,30127050.5988,53265
15/02/2021 22:19,30127150.5988,53267
15/02/2021 22:20,30127250.5988,53267
15/02/2021 22:21,30127250.5988,53267
15/02/2021 22:22,30127250.5988,53267
15/02/2021 22:23,30127350.5988,53268
15/02/2021 22:24,30127350.5988,53268
15/02/2021 22:25,30127350.5988,53268
15/02/2021 22:26,30127350.5988,53268
15/02/2021 22:27,30127350.5988,53268
15/02/2021 22:28,30127350.5988,53268
15/02/2021 22:29,30127350.5988,53268
15/02/2021 22:30,30127350.5988,53268
15/02/2021 22:31,30127350.5988,53268
15/02/2021 22:32,30127350.5988,53268
15/02/2021 22:33,30127350.5988,53268
15/02/2021 22:34,30127350.5988,53268
15/02/2021 22:35,30127350.5988,53268
15/02/2021 22:36,30127350.5988,53268
15/02/2021 22:37,30127450.5988,53269
15/02/2021 22:38,30127450.5988,53269
15/02/2021 22:39,30127450.5988,53269
15/02/2021 22:40,30127450.5988,53269
15/02/2021 22:41,30127550.5988,53270
15/02/2021 22:42,30127550.5988,53270
15/02/2021 22:43,30127550.5988,53270
15/02/2021 22:44,30127550.5988,53270
15/02/2021 22:45,30127550.5988,53270
15/02/2021 22:46,30127550.5988,53270
15/02/2021 22:47,30127550.5988,53270
15/02/2021 22:48,30127550.5988,53270
15/02/2021 22:49,30127550.5988,53270
15/02/2021 22:50,30127550.5988,53270
15/02/2021 22:51,30127550.5988,53270
15/02/2021 22:52,30127550.5988,53270
15/02/2021 22:53,30127550.5988,53270
15/02/2021 22:54,30127550.5988,53270
15/02/2021 23:03,30128774.6823,53272
15/02/2021 23:13,30128874.6823,53273
15/02/2021 23:23,30128974.6823,53274
15/02/2021 23:33,30128974.6823,53274
15/02/2021 23:43,30129274.6923,53277
15/02/2021 23:53,30129274.6923,53277
16/02/2021 00:03,30129474.7023,53279
16/02/2021 00:13,30129574.7323,53280
16/02/2021 00:23,30129774.7623,53282
16/02/2021 00:33,30127433.0011,53282
16/02/2021 00:43,30127433.0011,53282
16/02/2021 00:53,30126405.0256,53282
16/02/2021 01:03,30126405.0256,53282
16/02/2021 01:13,30126405.0256,53282
16/02/2021 01:23,30126505.0256,53283
16/02/2021 01:33,30126705.0856,53285
16/02/2021 01:43,30126905.1456,53287
16/02/2021 01:53,30126105.1856,53289
16/02/2021 02:03,30126205.2356,53290
16/02/2021 02:13,30126305.2456,53291
16/02/2021 02:23,30124405.2556,53292
16/02/2021 02:33,30124605.3056,53294
16/02/2021 02:43,30124705.3556,53295
16/02/2021 02:53,30124905.3956,53297
16/02/2021 03:03,30125005.4156,53298
16/02/2021 03:13,30125005.4156,53298
16/02/2021 03:23,30125205.4656,53300
16/02/2021 03:33,30125205.4656,53300
16/02/2021 03:43,30125405.5156,53302
16/02/2021 03:53,30125405.5156,53302
16/02/2021 04:03,30125505.5256,53303
16/02/2021 04:13,30125505.5256,53303
16/02/2021 04:23,30125505.5256,53303
16/02/2021 04:33,30125609.0883,53304
16/02/2021 04:43,30125809.1383,53306
16/02/2021 04:53,30126109.2683,53309
16/02/2021 05:03,30126409.2883,53312
16/02/2021 05:13,30126409.2883,53312
16/02/2021 05:23,30126509.3183,53313
16/02/2021 05:33,30105018.3562,53313
16/02/2021 05:43,30105118.3962,53314
16/02/2021 05:53,30105218.4162,53315
16/02/2021 06:03,30105318.4362,53316
16/02/2021 06:13,30105418.4462,53317
16/02/2021 06:23,30105518.4862,53318
16/02/2021 06:33,30105520.4862,53318
16/02/2021 06:43,30105520.4862,53318
16/02/2021 06:53,30105520.4862,53318
16/02/2021 07:03,30105520.4862,53318
16/02/2021 07:13,30105620.5162,53319
16/02/2021 07:23,30105620.5162,53319
16/02/2021 07:33,30105720.5162,53320
16/02/2021 07:43,30106044.7036,53320
16/02/2021 07:53,30106820.6836,53321
16/02/2021 08:03,30106820.6836,53321
16/02/2021 08:13,30106820.6836,53321
16/02/2021 08:23,30106820.6836,53321
16/02/2021 08:33,30107020.7136,53323
16/02/2021 08:43,30107220.7536,53325
16/02/2021 08:53,30107320.7536,53326
16/02/2021 09:03,30107420.7636,53328
16/02/2021 09:13,30107820.8436,53331
16/02/2021 09:23,30107920.8736,53332
16/02/2021 09:33,30108120.8636,53332
16/02/2021 09:43,30108520.9836,53336
16/02/2021 09:53,30107819.1036,53339
16/02/2021 10:13,30108019.1336,53341
16/02/2021 10:23,30108319.1836,53344
16/02/2021 10:33,30108619.2136,53347
16/02/2021 10:43,30108819.2236,53349
16/02/2021 10:53,30108919.2536,53350
16/02/2021 11:03,30108919.2536,53350
16/02/2021 11:13,30095437.2161,53351
16/02/2021 11:23,30095437.2161,53351
16/02/2021 11:33,30095437.2161,53352
16/02/2021 11:43,30095537.3261,53352
16/02/2021 11:53,30066659.5031,53352
16/02/2021 12:03,30051091.8463,53352
16/02/2021 12:13,30051191.8863,53353
16/02/2021 12:23,30051191.8863,53353
16/02/2021 12:33,30051191.8863,53354
16/02/2021 12:43,30051391.9563,53355
16/02/2021 12:53,30051391.9563,53355
16/02/2021 13:03,30051491.9763,53356
16/02/2021 13:13,30051491.9763,53356
16/02/2021 13:23,30051692.0363,53358
16/02/2021 13:33,30053703.6496,53358
16/02/2021 13:43,30053812.1041,53359
16/02/2021 13:53,30054255.4684,53360
