datetime,vote_amount,block_amount
15/02/2021 22:17,29222335.1181,13241
15/02/2021 22:18,29222335.1181,13241
15/02/2021 22:19,29222335.1181,13241
15/02/2021 22:20,29222335.1181,13241
15/02/2021 22:21,29222335.1181,13241
15/02/2021 22:22,29222335.1181,13241
15/02/2021 22:23,29222335.1181,13241
15/02/2021 22:24,29222335.1181,13241
15/02/2021 22:25,29222335.1181,13241
15/02/2021 22:26,29222335.1181,13241
15/02/2021 22:27,29222335.1181,13241
15/02/2021 22:28,29222335.1181,13241
15/02/2021 22:29,29222335.1181,13241
15/02/2021 22:30,29222335.1181,13241
15/02/2021 22:31,29222335.1181,13241
15/02/2021 22:32,29222335.1181,13241
15/02/2021 22:33,29222335.1181,13241
15/02/2021 22:34,29222335.1181,13242
15/02/2021 22:35,29222435.1181,13242
15/02/2021 22:36,29222435.1181,13242
15/02/2021 22:37,29222435.1181,13242
15/02/2021 22:38,29222435.1181,13242
15/02/2021 22:39,29222435.1181,13242
15/02/2021 22:40,29222435.1181,13242
15/02/2021 22:41,29222435.1181,13242
15/02/2021 22:42,29222435.1181,13242
15/02/2021 22:43,29222435.1181,13242
15/02/2021 22:44,29222435.1181,13242
15/02/2021 22:45,29222435.1181,13242
15/02/2021 22:46,29222435.1181,13242
15/02/2021 22:47,29222535.1181,13243
15/02/2021 22:48,29222535.1181,13243
15/02/2021 22:49,29222535.1181,13243
15/02/2021 22:50,29222535.1181,13243
15/02/2021 22:51,29222535.1181,13243
15/02/2021 22:52,29222535.1181,13243
15/02/2021 22:53,29222635.1181,13244
15/02/2021 22:54,29222635.1181,13244
15/02/2021 23:03,29222835.1281,13246
15/02/2021 23:13,29222935.1281,13247
15/02/2021 23:23,29223136.3181,13249
15/02/2021 23:33,29223136.3181,13250
15/02/2021 23:43,29223236.3181,13250
15/02/2021 23:53,29223336.3181,13251
16/02/2021 00:03,29223336.3181,13251
16/02/2021 00:13,29223436.3281,13252
16/02/2021 00:23,29223536.3381,13253
16/02/2021 00:33,29223536.3381,13253
16/02/2021 00:43,29224547.9173,13253
16/02/2021 00:53,29224747.9573,13255
16/02/2021 01:03,29224947.9873,13257
16/02/2021 01:13,29225048.0073,13258
16/02/2021 01:23,29225248.0873,13260
16/02/2021 01:33,29225248.0873,13260
16/02/2021 01:43,29225248.0873,13260
16/02/2021 01:53,29225248.0873,13260
16/02/2021 02:03,29225248.0873,13260
16/02/2021 02:13,29225348.0973,13261
16/02/2021 02:23,29226447.9873,13262
16/02/2021 02:33,29226548.0173,13263
16/02/2021 02:43,29226648.0273,13264
16/02/2021 02:53,29226748.0273,13265
16/02/2021 03:03,29227906.6018,13266
16/02/2021 03:13,29228106.6918,13268
16/02/2021 03:23,29228206.7218,13269
16/02/2021 03:33,29228406.7718,13271
16/02/2021 03:43,29228406.7718,13271
16/02/2021 03:53,29228406.7718,13271
16/02/2021 04:03,29228706.8418,13274
16/02/2021 04:13,29230706.6318,13274
16/02/2021 04:23,29230806.6418,13275
16/02/2021 04:33,29227335.9742,13275
16/02/2021 04:43,29227536.2042,13277
16/02/2021 04:53,29227636.2542,13278
16/02/2021 05:03,29227736.2542,13279
16/02/2021 05:13,29227836.2742,13280
16/02/2021 05:23,29229031.5914,13281
16/02/2021 05:33,29229031.5914,13281
16/02/2021 05:43,29229131.6414,13282
16/02/2021 05:53,29229331.6814,13284
16/02/2021 06:03,29229331.6814,13284
16/02/2021 06:13,29229431.6814,13285
16/02/2021 06:23,29229531.7014,13286
16/02/2021 06:33,29229631.7214,13287
16/02/2021 06:43,29229631.7214,13287
16/02/2021 06:53,29229631.7214,13287
16/02/2021 07:03,29229631.7214,13287
16/02/2021 07:13,29230631.6114,13287
16/02/2021 07:23,29230631.6114,13287
16/02/2021 07:33,29230631.6114,13287
16/02/2021 07:43,29230632.9536,13287
16/02/2021 07:53,29230632.9536,13288
16/02/2021 08:03,29230736.0261,13288
16/02/2021 08:13,29231835.9161,13289
16/02/2021 08:23,29230935.9361,13290
16/02/2021 08:33,29231035.9561,13291
16/02/2021 08:43,29232250.4657,13293
16/02/2021 08:53,29232350.4757,13294
16/02/2021 09:03,29232450.4857,13295
16/02/2021 09:13,29263511.7178,13296
16/02/2021 09:23,29263511.7178,13296
16/02/2021 09:33,29263911.7978,13300
16/02/2021 09:43,29266911.4878,13300
16/02/2021 09:53,29266911.4878,13300
16/02/2021 10:13,29267111.5678,13302
16/02/2021 10:23,29268611.3478,13302
16/02/2021 10:33,29269111.2378,13302
16/02/2021 10:43,29269111.2378,13302
16/02/2021 10:53,29269211.3178,13303
16/02/2021 11:03,29260310.1478,13304
16/02/2021 11:13,29260382.653,13304
16/02/2021 11:23,29260582.773,13306
16/02/2021 11:33,29260687.8493,13307
16/02/2021 11:43,29246584.4793,13309
16/02/2021 11:53,29246884.7193,13312
16/02/2021 12:03,29246984.7693,13313
16/02/2021 12:13,29247214.6609,13315
16/02/2021 12:23,29247414.7309,13317
16/02/2021 12:33,29247514.7309,13318
16/02/2021 12:43,29247520.7574,13318
16/02/2021 12:53,29247720.7574,13321
16/02/2021 13:03,29249399.889,13322
16/02/2021 13:13,29249510.7714,13322
16/02/2021 13:23,29277918.4306,13322
16/02/2021 13:33,29277918.4306,13322
16/02/2021 13:43,29277918.4306,13322
16/02/2021 13:53,29279030.7747,13323
16/02/2021 14:00,29279030.7747,13323
16/02/2021 14:05,29279030.7747,13323
16/02/2021 14:10,29279030.7747,13323
16/02/2021 14:15,29279130.8447,13324
16/02/2021 14:20,29279230.8547,13325
