datetime,vote_amount,block_amount
15/02/2021 22:17,30659023.2473,40389
15/02/2021 22:18,30659023.2473,40389
15/02/2021 22:19,30659023.2473,40389
15/02/2021 22:20,30659023.2473,40389
15/02/2021 22:21,30659023.2473,40389
15/02/2021 22:22,30659023.2473,40389
15/02/2021 22:23,30659023.2473,40389
15/02/2021 22:24,30659023.2473,40390
15/02/2021 22:25,30659123.2473,40390
15/02/2021 22:26,30659123.2473,40390
15/02/2021 22:27,30659123.2473,40390
15/02/2021 22:28,30659123.2473,40390
15/02/2021 22:29,30659123.2473,40390
15/02/2021 22:30,30659123.2473,40390
15/02/2021 22:31,30659123.2473,40390
15/02/2021 22:32,30659123.2473,40390
15/02/2021 22:33,30659123.2473,40390
15/02/2021 22:34,30659223.2473,40391
15/02/2021 22:35,30659223.2473,40391
15/02/2021 22:36,30659223.2473,40391
15/02/2021 22:37,30659223.2473,40391
15/02/2021 22:38,30659323.2473,40392
15/02/2021 22:39,30659323.2473,40392
15/02/2021 22:40,30659323.2473,40392
15/02/2021 22:41,30659323.2473,40392
15/02/2021 22:42,30659323.2473,40392
15/02/2021 22:43,30659323.2473,40392
15/02/2021 22:44,30659323.2473,40393
15/02/2021 22:45,30659423.2473,40393
15/02/2021 22:46,30659423.2473,40393
15/02/2021 22:47,30659423.2473,40393
15/02/2021 22:48,30659423.2473,40393
15/02/2021 22:49,30659423.2473,40393
15/02/2021 22:50,30659423.2473,40393
15/02/2021 22:51,30659423.2473,40393
15/02/2021 22:52,30659423.2473,40393
15/02/2021 22:53,30659423.2473,40393
15/02/2021 22:54,30659423.2473,40393
15/02/2021 23:03,30659523.2473,40394
15/02/2021 23:13,30663709.419,40395
15/02/2021 23:23,30663709.419,40395
15/02/2021 23:33,30673708.409,40395
15/02/2021 23:43,30673808.409,40396
15/02/2021 23:53,30672308.2772,40396
16/02/2021 00:03,30672308.2772,40396
16/02/2021 00:13,30672308.2772,40396
16/02/2021 00:23,30672408.3172,40397
16/02/2021 00:33,30672608.3572,40399
16/02/2021 00:43,30672908.4572,40402
16/02/2021 00:53,30673108.4872,40404
16/02/2021 01:03,30674352.5641,40405
16/02/2021 01:13,30674452.6041,40406
16/02/2021 01:23,30674452.6041,40406
16/02/2021 01:33,30674452.6041,40406
16/02/2021 01:43,30674552.6141,40407
16/02/2021 01:53,30673652.6441,40408
16/02/2021 02:03,30673952.6841,40411
16/02/2021 02:13,30673952.6841,40411
16/02/2021 02:23,30674352.8041,40415
16/02/2021 02:33,30675552.7841,40417
16/02/2021 02:43,30675552.7841,40417
16/02/2021 02:53,30675652.8341,40418
16/02/2021 03:03,30675752.8441,40419
16/02/2021 03:13,30675752.8441,40419
16/02/2021 03:23,30675752.8441,40419
16/02/2021 03:33,30679852.4341,40420
16/02/2021 03:43,30679852.4341,40420
16/02/2021 03:53,30682323.8988,40420
16/02/2021 04:03,30683540.1171,40420
16/02/2021 04:13,30683840.1471,40423
16/02/2021 04:23,30683940.1471,40424
16/02/2021 04:33,30684040.1571,40425
16/02/2021 04:43,30684240.1871,40427
16/02/2021 04:53,30684340.2071,40428
16/02/2021 05:03,30684440.2371,40429
16/02/2021 05:13,30685675.0527,40432
16/02/2021 05:23,30685875.1027,40434
16/02/2021 05:33,30686028.9916,40435
16/02/2021 05:43,30686229.0916,40438
16/02/2021 05:53,30686529.1316,40440
16/02/2021 06:03,30686729.1516,40442
16/02/2021 06:13,30686829.1616,40443
16/02/2021 06:23,30687029.1916,40445
16/02/2021 06:33,30687029.1916,40445
16/02/2021 06:43,30687329.2216,40448
16/02/2021 06:53,30687429.2316,40449
16/02/2021 07:03,30689529.0216,40450
16/02/2021 07:13,30689629.0216,40451
16/02/2021 07:23,30689729.0216,40452
16/02/2021 07:33,30687033.4558,40453
16/02/2021 07:43,30687035.4458,40453
16/02/2021 07:53,30687035.4458,40453
16/02/2021 08:03,30687035.4458,40453
16/02/2021 08:13,30687135.4758,40454
16/02/2021 08:23,30687135.4758,40454
16/02/2021 08:33,30687435.5058,40457
16/02/2021 08:43,30687835.6458,40461
